ID,Composition from the references,Composition (at. %),Material condition,Processing history,Phase,Material Comment,Grain size (um),Hardness (HV),Tensile YS (MPa),UTS (MPa),Uniform (plastic) elongation,Final elongation (%),Testing temperature (K),Test type (Izod or Charpy),Standard followed,Sample dimension (mm),"Notch geometry (U or V, unit in mm)",Impact energy (J),Publication date,Reference
1,Al0.1CoCrFeNi,Al2.44 Co24.39 Cr24.39 Fe24.39 Ni24.39,HW,VLM + HW (1323K & 87% reduction),FCC,processing details: VLM + HW (1323K & 87% reduction); original composition note: Al0.1CoCrFeNi; Fan2023ID: 1; ,   ,   ,250,635,   ,68,298,Charpy,ASTM E-23,55*10*10,V [2(depth)],420,12/10/15,   10.1016/j.intermet.2015.11.002
2,Al0.1CoCrFeNi,Al2.44 Co24.39 Cr24.39 Fe24.39 Ni24.39,HW,VLM + HW (1323K & 87% reduction),FCC,processing details: VLM + HW (1323K & 87% reduction); original composition note: Al0.1CoCrFeNi; Fan2023ID: 2; ,   ,   ,295,745,   ,77,200,Charpy,ASTM E-23,55*10*10,V [2(depth)],318,12/10/15,   10.1016/j.intermet.2015.11.002
3,Al0.1CoCrFeNi,Al2.44 Co24.39 Cr24.39 Fe24.39 Ni24.39,HW,VLM + HW (1323K & 87% reduction),FCC,processing details: VLM + HW (1323K & 87% reduction); original composition note: Al0.1CoCrFeNi; Fan2023ID: 3; ,   ,   ,412,1042,   ,101,77,Charpy,ASTM E-23,55*10*10,V [2(depth)],289,12/10/15,   10.1016/j.intermet.2015.11.002
4,Al0.3CoCrFeNi,Al6.98 Co23.26 Cr23.26 Fe23.26 Ni23.26,HW,VLM + HW (1323K & 87% reduction),FCC,processing details: VLM + HW (1323K & 87% reduction); original composition note: Al0.3CoCrFeNi; Fan2023ID: 4; ,   ,   ,220,620,   ,76,298,Charpy,ASTM E-23,55*10*10,V [2(depth)],413,12/10/15,   10.1016/j.intermet.2015.11.002
5,Al0.3CoCrFeNi,Al6.98 Co23.26 Cr23.26 Fe23.26 Ni23.26,HW,VLM + HW (1323K & 87% reduction),FCC,processing details: VLM + HW (1323K & 87% reduction); original composition note: Al0.3CoCrFeNi; Fan2023ID: 5; ,   ,   ,310,635,   ,73,200,Charpy,ASTM E-23,55*10*10,V [2(depth)],408,12/10/15,   10.1016/j.intermet.2015.11.002
6,Al0.3CoCrFeNi,Al6.98 Co23.26 Cr23.26 Fe23.26 Ni23.26,HW,VLM + HW (1323K & 87% reduction),FCC,processing details: VLM + HW (1323K & 87% reduction); original composition note: Al0.3CoCrFeNi; Fan2023ID: 6; ,   ,   ,515,1010,   ,82,77,Charpy,ASTM E-23,55*10*10,V [2(depth)],328,12/10/15,   10.1016/j.intermet.2015.11.002
7,CoCrFeNi,Co25 Cr25 Fe25 Ni25,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: CoCrFeNi; Fan2023ID: 7; ,150,   ,   ,   ,   ,   ,298,Charpy,ASTM E-23,55*10*10,V [2(depth)],287.44,6/9/17,   10.1016/j.matchemphys.2017.06.021
8,CoCrFeNi,Co25 Cr25 Fe25 Ni25,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: CoCrFeNi; Fan2023ID: 8; ,150,   ,   ,   ,   ,   ,200,Charpy,ASTM E-23,55*10*10,V [2(depth)],321,6/9/17,   10.1016/j.matchemphys.2017.06.021
9,CoCrFeNi,Co25 Cr25 Fe25 Ni25,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: CoCrFeNi; Fan2023ID: 9; ,150,   ,   ,   ,   ,   ,77,Charpy,ASTM E-23,55*10*10,V [2(depth)],397.87,6/9/17,   10.1016/j.matchemphys.2017.06.021
10,CoCrFeNi,Co25 Cr25 Fe25 Ni25,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: CoCrFeNi; Fan2023ID: 10; ,150,   ,   ,   ,   ,   ,298,Charpy,ASTM E-23,55*10*10,U,275.09,6/9/17,   10.1016/j.matchemphys.2017.06.021
11,CoCrFeNi,Co25 Cr25 Fe25 Ni25,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: CoCrFeNi; Fan2023ID: 11; ,150,   ,   ,   ,   ,   ,200,Charpy,ASTM E-23,55*10*10,U,321,6/9/17,   10.1016/j.matchemphys.2017.06.021
12,CoCrFeNi,Co25 Cr25 Fe25 Ni25,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: CoCrFeNi; Fan2023ID: 12; ,150,   ,   ,   ,   ,   ,77,Charpy,ASTM E-23,55*10*10,U,377.1,6/9/17,   10.1016/j.matchemphys.2017.06.021
13,Al0.1CoCrFeNi,Al2.44 Co24.39 Cr24.39 Fe24.39 Ni24.39,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: Al0.1CoCrFeNi; Fan2023ID: 13; ,150,   ,   ,   ,   ,   ,298,Charpy,ASTM E-23,55*10*10,V [2(depth)],294.34,6/9/17,   10.1016/j.matchemphys.2017.06.021
14,Al0.1CoCrFeNi,Al2.44 Co24.39 Cr24.39 Fe24.39 Ni24.39,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: Al0.1CoCrFeNi; Fan2023ID: 14; ,150,   ,   ,   ,   ,   ,200,Charpy,ASTM E-23,55*10*10,V [2(depth)],326,6/9/17,   10.1016/j.matchemphys.2017.06.021
15,Al0.1CoCrFeNi,Al2.44 Co24.39 Cr24.39 Fe24.39 Ni24.39,AC,VLM,FCC,processing details: VLM; grain size (micrometers): 150; original composition note: Al0.1CoCrFeNi; Fan2023ID: 15; ,150,   ,   ,   ,   ,   ,77,Charpy,ASTM E-23,55*10*10,V [2(depth)],371.45,6/9/17,   10.1016/j.matchemphys.2017.06.021
16,Al0.75CoCrFeNi,Al15.79 Co21.05 Cr21.05 Fe21.05 Ni21.05,AC,VLM,FCC+B2,processing details: VLM; original composition note: Al0.75CoCrFeNi; Fan2023ID: 16; ,   ,   ,   ,   ,   ,   ,298,Charpy,ASTM E-23,55*10*10,V [2(depth)],3.58,6/9/17,   10.1016/j.matchemphys.2017.06.021
17,Al0.75CoCrFeNi,Al15.79 Co21.05 Cr21.05 Fe21.05 Ni21.05,AC,VLM,FCC+B2,processing details: VLM; original composition note: Al0.75CoCrFeNi; Fan2023ID: 17; ,   ,   ,   ,   ,   ,   ,200,Charpy,ASTM E-23,55*10*10,V [2(depth)],3.02,6/9/17,   10.1016/j.matchemphys.2017.06.021
18,Al0.75CoCrFeNi,Al15.79 Co21.05 Cr21.05 Fe21.05 Ni21.05,AC,VLM,FCC+B2,processing details: VLM; original composition note: Al0.75CoCrFeNi; Fan2023ID: 18; ,   ,   ,   ,   ,   ,   ,77,Charpy,ASTM E-23,55*10*10,V [2(depth)],1.82,6/9/17,   10.1016/j.matchemphys.2017.06.021
19,Al1.5CoCrFeNi,Al27.27 Co18.18 Cr18.18 Fe18.18 Ni18.18,AC,VLM,BCC+B2,processing details: VLM; original composition note: Al1.5CoCrFeNi; Fan2023ID: 19; ,   ,   ,   ,   ,   ,   ,298,Charpy,ASTM E-23,55*10*10,V [2(depth)],1.28,6/9/17,   10.1016/j.matchemphys.2017.06.021
20,Al1.5CoCrFeNi,Al27.27 Co18.18 Cr18.18 Fe18.18 Ni18.18,AC,VLM,BCC+B2,processing details: VLM; original composition note: Al1.5CoCrFeNi; Fan2023ID: 20; ,   ,   ,   ,   ,   ,   ,200,Charpy,ASTM E-23,55*10*10,V [2(depth)],0.64,6/9/17,   10.1016/j.matchemphys.2017.06.021
21,Al1.5CoCrFeNi,Al27.27 Co18.18 Cr18.18 Fe18.18 Ni18.18,AC,VLM,BCC+B2,processing details: VLM; original composition note: Al1.5CoCrFeNi; Fan2023ID: 21; ,   ,   ,   ,   ,   ,   ,77,Charpy,ASTM E-23,55*10*10,V [2(depth)],0.64,6/9/17,   10.1016/j.matchemphys.2017.06.021
22,CoCrFeMnNi (WS direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WS direction); Fan2023ID: 22; ,>1000,   ,   ,   ,   ,   ,423,Charpy,ASTM E23,   ,V,182,11/22/17,   10.1016/j.msea.2017.11.081
23,CoCrFeMnNi (WS direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WS direction); Fan2023ID: 23; ,>1000,   ,   ,   ,   ,   ,373,Charpy,ASTM E23,   ,V,194,11/22/17,   10.1016/j.msea.2017.11.081
24,CoCrFeMnNi (WS direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WS direction); Fan2023ID: 24; ,>1000,   ,228,410,   ,32,298,Charpy,ASTM E23,   ,V,201,11/22/17,   10.1016/j.msea.2017.11.081
25,CoCrFeMnNi (WS direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WS direction); Fan2023ID: 25; ,>1000,   ,258,468,   ,39,213,Charpy,ASTM E23,   ,V,210,11/22/17,   10.1016/j.msea.2017.11.081
26,CoCrFeMnNi (WS direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WS direction); Fan2023ID: 26; ,>1000,   ,295,545,   ,38,173,Charpy,ASTM E23,   ,V,214,11/22/17,   10.1016/j.msea.2017.11.081
27,CoCrFeMnNi (WS direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WS direction); Fan2023ID: 27; ,>1000,   ,333,596,   ,45,123,Charpy,ASTM E23,   ,V,185,11/22/17,   10.1016/j.msea.2017.11.081
28,CoCrFeMnNi (WL direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WL direction); Fan2023ID: 28; ,>1000,   ,   ,   ,   ,   ,423,Charpy,ASTM E23,   ,V,214,11/22/17,   10.1016/j.msea.2017.11.081
29,CoCrFeMnNi (WL direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WL direction); Fan2023ID: 29; ,>1000,   ,   ,   ,   ,   ,373,Charpy,ASTM E23,   ,V,237,11/22/17,   10.1016/j.msea.2017.11.081
30,CoCrFeMnNi (WL direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WL direction); Fan2023ID: 30; ,>1000,   ,223,442,   ,46,298,Charpy,ASTM E23,   ,V,233,11/22/17,   10.1016/j.msea.2017.11.081
31,CoCrFeMnNi (WL direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WL direction); Fan2023ID: 31; ,>1000,   ,258,512,   ,37,213,Charpy,ASTM E23,   ,V,238,11/22/17,   10.1016/j.msea.2017.11.081
32,CoCrFeMnNi (WL direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WL direction); Fan2023ID: 32; ,>1000,   ,286,526,   ,32,173,Charpy,ASTM E23,   ,V,192,11/22/17,   10.1016/j.msea.2017.11.081
33,CoCrFeMnNi (WL direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (WL direction); Fan2023ID: 33; ,>1000,   ,335,631,   ,40,123,Charpy,ASTM E23,   ,V,199,11/22/17,   10.1016/j.msea.2017.11.081
34,CoCrFeMnNi (H direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (H direction); Fan2023ID: 34; ,>1000,   ,   ,   ,   ,   ,423,Charpy,ASTM E23,   ,V,186,11/22/17,   10.1016/j.msea.2017.11.081
35,CoCrFeMnNi (H direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (H direction); Fan2023ID: 35; ,>1000,   ,   ,   ,   ,   ,373,Charpy,ASTM E23,   ,V,177,11/22/17,   10.1016/j.msea.2017.11.081
36,CoCrFeMnNi (H direction),Co20 Cr20 Fe20 Mn20 Ni20,AC,VIM,FCC,processing details: VIM; grain size (micrometers): >1000; original composition note: CoCrFeMnNi (H direction); Fan2023ID: 36; ,>1000,   ,212,414,   ,43,298,Charpy,ASTM E23,   ,V,200,11/22/17,   10.1016/j.msea.2017.11.081
