ID,Composition from the references,Composition (at. %),Material condition,Processing history,Phase,Grain size (um),Hardness (HV),Tensile YS (MPa),UTS (MPa),Uniform (plastic) elongation,Final elongation (%),Testing temperature (K),Test type (Izod or Charpy),Standard followed,Sample dimension (mm),"Notch geometry (U or V, unit in mm)",Impact toughness (kJ/m2),Publication date,Reference
1,Al18Cr21Fe20Co20Ni21,Al18-Co20-Cr21-Fe20-Ni21,as-cast,arc-melted,BCC,N/A,508±16,N/A,366,N/A,N/A,298,N/A,N/A,55*6*6,U [1(root radius)*2(depth)],12±2,2/25/16,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
2,Al15.5Cr22.25Fe20Co20Ni22.25,Al15.5-Co20-Cr22.25-Fe20-Ni22.25,as-cast,arc-melted,FCC+BCC+ordered BCC,N/A,518±25,N/A,592,N/A,N/A,298,N/A,N/A,55*6*6,U [1(root radius)*2(depth)],15±3,2/25/16,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
3,Al13Cr23.5Fe20Co20Ni23.5,Al13-Co20-Cr23.5-Fe20-Ni23.5,as-cast,arc-melted,FCC,N/A,386±11,760,1010,0.06,N/A,298,N/A,N/A,55*6*6,U [1(root radius)*2(depth)],106±23,2/25/16,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
4,Al10.5Cr24.75Fe20Co20Ni24.75,Al10.5-Co20-Cr24.75-Fe20-Ni24.75,as-cast,arc-melted,FCC+BCC,N/A,245±15,370,790,0.25,N/A,298,N/A,N/A,55*6*6,U [1(root radius)*2(depth)],477±15,2/25/16,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
5,CoCrFeMnNi with reduced concentration of Cr,C0.03-Co23.29-Cr6.22-Fe23.90-Mn23.09-Ni23.46,annealed,VIM + cold-rolled (80% reduction) + annealed (1073K & 1h) + air-quenched,FCC,6.4,N/A,313,651,41,56,293,Charpy,N/A,55*8*2,V,1420,1/29/21,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
6,CoCrFeMnNi with reduced concentration of Cr,C0.03-Co23.29-Cr6.22-Fe23.90-Mn23.09-Ni23.46,annealed,VIM + cold-rolled (80% reduction) + annealed (1073K & 1h) + air-quenched,FCC,6.4,N/A,460,970,57,76,77,Charpy,N/A,55*8*2,V,1400,1/29/21,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
7,CoCrFeMnNi-0.5%C with reduced concentration of Cr,C0.53-Co23.17-Cr6.42-Fe23.97-Mn23.67-Ni22.24,annealed,VIM + cold-rolled (80% reduction) + annealed (1073K & 1h) + air-quenched,FCC+cabide,5.2,N/A,381,721,36,52,293,Charpy,N/A,55*8*2,V,1190,1/29/21,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
8,CoCrFeMnNi-0.5%C with reduced concentration of Cr,C0.53-Co23.17-Cr6.42-Fe23.97-Mn23.67-Ni22.24,annealed,VIM + cold-rolled (80% reduction) + annealed (1073K & 1h) + air-quenched,FCC+cabide,5.2,N/A,480,994,48,62,77,Charpy,N/A,55*8*2,V,1300,1/29/21,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
9,CoCrFeMnNi-2.0%C with reduced concentration of Cr,C2.11-Co23.42-Cr6.23-Fe22.41-Mn22.02-Ni23.82,annealed,VIM + cold-rolled (80% reduction) + annealed (1073K & 1h) + air-quenched,FCC+cabide,3.6,N/A,636,933,29,43,293,Charpy,N/A,55*8*2,V,850,1/29/21,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
10,CoCrFeMnNi-2.0%C with reduced concentration of Cr,C2.11-Co23.42-Cr6.23-Fe22.41-Mn22.02-Ni23.82,annealed,VIM + cold-rolled (80% reduction) + annealed (1073K & 1h) + air-quenched,FCC+cabide,3.6,N/A,786,1218,39,52,77,Charpy,N/A,55*8*2,V,860,1/29/21,"Semenyuk, A., Klimova, M., Shaysultanov, D., Chernichenko, R., Zherebtsov, S. & Stepanov, N. Effect of carbon content on cryogenic mechanical properties of CoCrFeMnNi high entropy alloy. IOP Conference Series: Materials Science and Engineering. 012050 (2021)."
