Composition,Ductility Class,Hardness
Nb25 Re25 Ru25 W25 ,0.1,12.3058236
Hf20 Nb20 Ta20 Ti20 Zr20 ,20,3.3451677
Hf20 Nb20 Ta20 Ti20 Zr20 ,20,3.3216309
Hf20 Nb20 Ta20 Ti20 Zr20 ,50,3.2059083
Hf30 Nb15 Ta15 Zr40 ,50,2.5380516
Hf25 Ta25 Zr50 ,0.1,5.7446137
Hf37.5 Ta25 Zr37.5 ,0.1,6.2365982
Hf25 Nb25 Re25 W25 ,0.1,8.4559223
Mo25 Nb25 Ru25 W25 ,0,10.5807723
Hf25 Mo25 Nb25 Re25 ,0,7.953477
Hf45 Mo15 Nb20 Ta20 ,1,4.8051031
Mo25 Nb25 Re25 Ru25 ,0,10.9681488
Hf20 Nb20 Re20 Ru20 W20 ,0,10.6945335
Mo20 Nb20 Re20 Ru20 W20 ,0.1,8.7102505
Hf25 Nb25 Re25 Ru25 ,0,7.9629571
Hf30 Mo25 Nb30 Ta15 ,1,4.6338075
Hf25 Mo25 Nb25 W25 ,0.1,5.9185245
Hf25 Mo25 Re25 Ru25 ,0,10.8779244
Hf20 Mo20 Nb20 Re20 W20 ,0.1,8.1865567
Mo33.33333333 Ru33.33333333 W33.33333333 ,0.1,10.7785468
Hf25 Nb25 Ru25 Ta25 ,0,7.3395588
Hf20 Mo20 Nb20 Re20 Ru20 ,0,10.8118906
Hf25 Mo25 Re25 Ta25 ,0,8.8691239
Hf25 Mo25 Nb25 Ru25 ,0.1,8.4193095
Nb25 Ru25 Ta25 W25 ,0.1,8.1623661
Nb25 Re25 Ru25 Ta25 ,0.1,7.9675337
Hf20 Mo20 Re20 Ru20 W20 ,0,10.9344781
Hf25 Nb25 Re25 Ta25 ,0.1,6.6334548
Hf25 Mo25 Ta25 W25 ,0.1,6.5147901
Hf25 Re25 Ru25 W25 ,0,11.0309136
Hf25 Mo25 Nb25 Ta25 ,1,4.6897074
Mo25 Nb25 Ru25 Ta25 ,0,6.1077996
Hf25 Nb25 Ru25 W25 ,0,7.070847
Hf33.33333333 Re33.33333333 Ru33.33333333 ,0,10.5994056
Hf20 Mo20 Nb20 Ru20 Ta20 ,0.1,7.3993815
Hf20 Mo20 Nb20 Re20 Ta20 ,0.1,6.5147901
Hf20 Nb20 Re20 Ta20 W20 ,0.1,7.1967035
Hf20 Nb20 Re20 Ru20 Ta20 ,0,8.2140163
Hf20 Nb20 Ru20 Ta20 W20 ,0.1,7.5124889
Hf20 Mo20 Nb20 Ru20 W20 ,0,8.4186557
Hf33.33333333 Mo33.33333333 Ru33.33333333 ,0.1,6.5834391
Hf25 Re25 Ta25 W25 ,0,10.2545261
Nb20 Re20 Ru20 Ta20 W20 ,0.1,9.6138021
Hf25 Nb25 Ta25 W25 ,1,5.321932
Hf20 Mo20 Nb20 Ta20 W20 ,0.1,5.7884183
Hf25 Mo25 Ru25 W25 ,0.1,8.1731538
Hf20 Mo20 Re20 Ta20 W20 ,0.1,8.1166001
Hf25 Mo25 Ru25 Ta25 ,0.1,7.94367
Hf20 Mo20 Ru20 Ta20 W20 ,0.1,8.326143
Mo20 Nb20 Ru20 Ta20 W20 ,0.1,8.2254578
Re33.33333333 Ru33.33333333 W33.33333333 ,50,4.5442369
Hf20 Mo20 Re20 Ru20 Ta20 ,0.1,9.731813
Hf25 Ru25 Ta25 W25 ,0.1,8.2006134
Hf25 Re25 Ru25 Ta25 ,0,7.508893
Mo25 Re25 Ru25 W25 ,0.1,11.9642131
Hf33.33333333 Ru33.33333333 W33.33333333 ,0,7.9789752
Hf20 Re20 Ru20 Ta20 W20 ,0,10.4742029
Mo20 Nb20 Re20 Ru20 Ta20 ,0,8.110389
Hf33.33333333 Mo33.33333333 W33.33333333 ,0,9.0597066
Mo33.33333333 Re33.33333333 Ru33.33333333 ,20,3.9146275
Hf20 Mo20 Re25 Ta15 W20 ,0,9.3516283
Hf33.33333333 Mo33.33333333 Re33.33333333 ,0,9.6030144
Hf25 Mo25 Re25 W25 ,0.1,9.2780758
Mo16.66666666 Nb16.66666666 Re16.66666667 Ru16.66666667 Ta16.66666667 W16.66666667 ,0.1,8.4055797
Mo25 Ru25 Ta25 W25 ,0.1,11.0806024
Hf33.33333333 Re33.33333333 W33.33333333 ,0.1,10.212356
Hf32.08021268 Re41.7709482 W26.14883911 ,0,10.2738132
Mo45.53384141 Nb14.08136181 Ti40.38479678 ,0.1,4.409881
Mo25 Re25 Ru25 Ta25 ,0,11.1966519
Re25 Ru25 Ta25 W25 ,0.1,12.8586115
Mo20 Re20 Ru20 Ta20 W20 ,0.1,11.4146942
Mo25 Nb25 Re25 W25 ,0.1,5.1280803
Mo25 Nb25 Re25 Ta25 ,0,5.7704388
Mo45 Re27.5 W27.5 ,10,4.0025636
Nb25 Re25 Ta25 W25 ,0.1,6.4141049
Mo33.33333333 Re33.33333333 W33.33333333 ,20,4.4151114
Mo25 Nb25 Ta25 W25 ,0.1,4.8917316
Mo25 Nb25 Ta25 W25 ,0.1,4.1905311
Mo25 Nb25 Ta25 W25 ,0.1,4.9172298
Mo20 Nb20 Re20 Ta20 W20 ,0.1,5.5945666
Nb41.16274569 Ta43.3730509 W15.46420341 ,20,3.1781218
Mo40.93333649 Re32.95509721 Ta26.11156631 ,0.1,6.0447079
Mo41.62627096 Re15.36438041 W43.00934863 ,1,3.4507564
Re38.98965675 Ta44.89002835 Zr16.1203149 ,0.1,9.198966
Re39.41246849 Ta38.18503434 Zr22.40249718 ,0.1,10.6347108
Mo25 Re25 Ta25 W25 ,0.1,5.900545
