Table S1 The original training dataset used in this work.,,,,,,,,,
Alloy No.,"Elemental content, at%",,,,,,,"Hardness, HV",Ref.
,Al,Co,Cr,Cu,Fe,Ni,Mn,,
1,10.7,0,17.9,17.9,17.9,17.9,17.9,220,10.1016/j.mattod.2015.11.026
2,12.5,0,25,0,25,12.5,25,412,10.1016/j.mattod.2015.11.026
3,0,0,13,0,50,10,27,166,10.1016/j.mattod.2015.11.026
4,11.11,0,22.22,0,22.22,22.22,22.22,353,10.1002/adem.200300567
5,13.04,0,21.74,0,21.74,21.74,21.74,359.6,10.1002/adem.200300567
6,14.89,0,21.28,0,21.28,21.28,21.28,371.6,10.1002/adem.200300567
7,16.67,0,20.83,0,20.83,20.83,20.83,386,10.1002/adem.200300567
8,2.4,24.4,24.4,0,24.4,24.4,0,118,10.1038/s41467-020-16791-8
9,9.1,22.7,22.7,0,22.7,22.7,0,127,10.1038/s41467-020-16791-8
10,16.7,20.8,20.8,0,20.8,20.8,0,382,10.1038/s41467-020-16791-8
11,18.4,20.4,20.4,0,20.4,20.4,0,527,10.1038/s41467-020-16791-8
12,31,17.2,17.2,0,17.2,17.2,0,482,10.1038/s41467-020-16791-8
13,33.33,16.67,16.67,0,16.67,16.67,0,509,10.1016/j.pmatsci.2022.101018
14,8.6,22.9,22.9,0,22.9,22.9,0,131,10.1016/j.pmatsci.2022.101018
15,15.8,21.1,21.1,0,21.1,21.1,0,388,10.1016/j.pmatsci.2022.101018
16,17.9,20.5,20.5,0,20.5,20.5,0,538,10.1016/j.pmatsci.2022.101018
17,23.8,19,19,0,19,19,0,487,10.1016/j.pmatsci.2022.101018
18,7.7,30.8,0,0,30.8,30.8,0,135,10.1007/s11837-013-0761-6
19,14.3,28.6,0,0,28.6,28.6,0,205,10.1007/s11837-013-0761-6
20,20,26.7,0,0,26.7,26.7,0,380,10.1007/s11837-013-0761-6
21,7,24,21,0,24,24,0,150,10.1039/D1EE00505G
22,6.2,21.4,29.7,0,21.4,21.4,0,300,10.1039/D1EE00505G
23,5.6,19.2,36.8,0,19.2,19.2,0,420,10.1039/D1EE00505G
24,9.1,0,18.2,18.2,18.2,36.4,0,238,10.1016/j.pmatsci.2013.10.001
25,10.7,0,17.9,17.9,17.9,35.7,0,278,10.1016/j.pmatsci.2013.10.001
26,16.7,0,16.7,16.7,16.7,33.3,0,392,10.1016/j.pmatsci.2013.10.001
27,19.4,0,16.1,16.1,16.1,32.3,0,521,10.1016/j.pmatsci.2013.10.001
28,23.1,0,15.4,15.4,15.4,30.8,0,546,10.1016/j.pmatsci.2013.10.001
