Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,F
Comment:,All data from Supplementary of 10.1016/j.ijrmhm.2023.106246

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Al10.7 Cr17.9 Cu17.9 Fe17.9 Ni17.9 Mn17.9 ,None,None,None,hardness,EXP,None,298,2157540000.0,None,Pa,E,10.1016/j.matchemphys.2019.122555
2,Al12.5 Cr25 Fe25 Ni12.5 Mn25 ,None,None,None,hardness,EXP,None,298,4040484000.0,None,Pa,E,10.1016/j.matchemphys.2019.122555
3,Cr13 Fe50 Ni10 Mn27 ,None,None,None,hardness,EXP,None,298,1627962000.0,None,Pa,E,10.1016/j.matchemphys.2019.122555
4,Al11.11 Cr22.22 Fe22.22 Ni22.22 Mn22.22 ,None,None,None,hardness,EXP,None,298,3461871000.0,None,Pa,E,10.1016/j.msea.2019.04.104
5,Al13.04 Cr21.74 Fe21.74 Ni21.74 Mn21.74 ,None,None,None,hardness,EXP,None,298,3526597200.0000005,None,Pa,E,10.1016/j.msea.2019.04.104
6,Al14.89 Cr21.28 Fe21.28 Ni21.28 Mn21.28 ,None,None,None,hardness,EXP,None,298,3644281200.0,None,Pa,E,10.1016/j.msea.2019.04.104
7,Al16.67 Cr20.83 Fe20.83 Ni20.83 Mn20.83 ,None,None,None,hardness,EXP,None,298,3785501999.9999995,None,Pa,E,10.1016/j.msea.2019.04.104
8,Al2.4 Co24.4 Cr24.4 Fe24.4 Ni24.4 ,None,None,None,hardness,EXP,None,298,1157225999.9999998,None,Pa,E,10.1016/j.intermet.2012.03.005
9,Al9.1 Co22.7 Cr22.7 Fe22.7 Ni22.7 ,None,None,None,hardness,EXP,None,298,1245489000.0,None,Pa,E,10.1016/j.intermet.2012.03.005
10,Al16.7 Co20.8 Cr20.8 Fe20.8 Ni20.8 ,None,None,None,hardness,EXP,None,298,3746274000.0,None,Pa,E,10.1016/j.intermet.2012.03.005
11,Al18.4 Co20.4 Cr20.4 Fe20.4 Ni20.4 ,None,None,None,hardness,EXP,None,298,5168289000.0,None,Pa,E,10.1016/j.intermet.2012.03.005
12,Al31 Co17.2 Cr17.2 Fe17.2 Ni17.2 ,None,None,None,hardness,EXP,None,298,4726974000.0,None,Pa,E,10.1016/j.intermet.2012.03.005
13,Al33.33 Co16.67 Cr16.67 Fe16.67 Ni16.67 ,None,None,None,hardness,EXP,None,298,4991763000.0,None,Pa,E,10.1016/j.jallcom.2009.08.090
14,Al8.6 Co22.9 Cr22.9 Fe22.9 Ni22.9 ,None,None,None,hardness,EXP,None,298,1284717000.0,None,Pa,E,10.1016/j.jallcom.2009.08.090
