Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
E8,Zr12 Mo23 Ta25 W40,BCC,SD,E8 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,nanohardness,EXP,None,298.0,12250000000.0,750000000.0,Pa,F10,10.3390/ma15238546 
D11,Zr11 Mo11 Ta25 W53,BCC,SD,D11 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,nanohardness,EXP,None,298.0,19920000000.0,1000000000.0,Pa,F10,10.3390/ma15238546 
I5,Zr19 Mo41 Ta20 W20,BCC,SD,I5 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,nanohardness,EXP,None,298.0,10360000000.0,750000000.0,Pa,F10,10.3390/ma15238546 
F6C ,Zr21 Mo25 Ta25 W29,BCC,SD,F6C sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,nanohardness,EXP,None,298.0,10810000000.0,1000000000.0,Pa,F10,10.3390/ma15238546 
C5,Zr18 Mo18 Ta36 W28,BCC,SD,C5 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,nanohardness,EXP,None,298.0,8280000000.0,500000000.0,Pa,F10,10.3390/ma15238546 
E4,Zr29 Mo27 Ta26 W18,BCC,SD,E4 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,nanohardness,EXP,None,298.0,7560000000.0,750000000.0,Pa,F10,10.3390/ma15238546 
E8,Zr12 Mo23 Ta25 W40,BCC,SD,E8 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,reduced elastic modulus,EXP,None,298.0,267600000000.0,15000000000.0,Pa,F10,10.3390/ma15238546 
D11,Zr11 Mo11 Ta25 W53,BCC,SD,D11 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,reduced elastic modulus,EXP,None,298.0,302700000000.0,25000000000.0,Pa,F10,10.3390/ma15238546 
I5,Zr19 Mo41 Ta20 W20,BCC,SD,I5 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,reduced elastic modulus,EXP,None,298.0,215000000000.0,10000000000.0,Pa,F10,10.3390/ma15238546 
F6C ,Zr21 Mo25 Ta25 W29,BCC,SD,F6C sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,reduced elastic modulus,EXP,None,298.0,201200000000.0,5000000000.0,Pa,F10,10.3390/ma15238546 
C5,Zr18 Mo18 Ta36 W28,BCC,SD,C5 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,reduced elastic modulus,EXP,None,298.0,182100000000.0,5000000000.0,Pa,F10,10.3390/ma15238546 
E4,Zr29 Mo27 Ta26 W18,BCC,SD,E4 sample ID; magnetron sputtering deposition with Ar at 0.4Pa; 10nm grain size,reduced elastic modulus,EXP,None,298.0,140200000000.0,5000000000.0,Pa,F10,10.3390/ma15238546 
NB000,CoCrCuFeNi,FCC,SD,NB000; deposited by magnetron sputtering coldpressed powder targets; p*d=2.8 Pa cm,None,None,None,None,None,None,None,F3,10.1016/j.jallcom.2015.06.097
NB005,(CoCrCuFeNi)19 Nb5,FCC,SD,NB005; deposited by magnetron sputtering coldpressed powder targets; p*d=2.8 Pa cm,None,None,None,None,None,None,None,F3,10.1016/j.jallcom.2015.06.097
NB010,(CoCrCuFeNi)18 Nb10,FCC+amorphous,SD,NB010; deposited by magnetron sputtering coldpressed powder targets; p*d=2.8 Pa cm,None,None,None,None,None,None,None,F3,10.1016/j.jallcom.2015.06.097
NB015,(CoCrCuFeNi)17 Nb15,amorphous,SD,NB015; deposited by magnetron sputtering coldpressed powder targets; p*d=2.8 Pa cm,None,None,None,None,None,None,None,F3,10.1016/j.jallcom.2015.06.097
NB023,(CoCrCuFeNi)15.4 Nb23,amorphous,SD,NB023; deposited by magnetron sputtering coldpressed powder targets; p*d=2.8 Pa cm,None,None,None,None,None,None,None,F3,10.1016/j.jallcom.2015.06.097
