Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,CHEN2021
Hand Fetched:,N
Comment:,Extracted from Chen2021 (10.1002/adem.202100612)

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
2,In20.5 Ga67 Zn12.5,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,283.85,None,K,None,10.1016/j.jmst.2016.08.022
3,Sn16 In21.5 Ga62.5,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,284.15,None,K,None,10.1016/j.scriptamat.2020.04.016
6,Sn12 Ga82 Zn6,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,291.95,None,K,None,10.1070/RC2000v069n02ABEH000490
7,Sn13.5 Ga86.5,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,293.7,None,K,None,10.1070/RC2000v069n02ABEH000490
8,Cd2 Ga93 Zn5,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,297.75,None,K,None,10.1070/RC2000v069n02ABEH000490
9,Ga96.5 Zn3.5,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,298.15,None,K,None,10.1070/RC2000v069n02ABEH000490
10,Sn11 Pb22 Bi41.5 Cd8 In17.5,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,313.15,None,K,None,10.3969/j.issn.2095-4239.2013.03.003
11,Sn12 Pb18 Bi49 In21,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,332.88,None,K,None,10.1016/j.jmst.2016.08.022
12,Sn19 Pb17 Bi54 Hg10,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,333.15,None,K,None,10.1016/j.jmst.2016.08.022
13,Sn16.5 Bi32.5 In51,None,None,as extracted by Chen2021 from reference,melting temperature,EXP,None,None,333.15,None,K,None,10.1016/j.applthermaleng.2019.114438
