Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,JANG2024
Hand Fetched:,N
Comment:,Extracted from Jang2024 (10.1016/j.calphad.2024.102769)

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
None,Ti0.33 Zr0.33 Hf0.33,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,98400000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.25 Zr0.25 Hf0.50,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,101100000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.25 Zr0.50 Hf0.25,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,95300000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.50 Zr0.25 Hf0.25,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,97900000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.10 Zr0.10 Hf0.80,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,105500000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.10 Zr0.20 Hf0.70,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,103700000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.10 Zr0.30 Hf0.60,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,103600000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.10 Zr0.40 Hf0.50,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,101400000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.10 Zr0.50 Hf0.40,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,99300000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
None,Ti0.10 Zr0.60 Hf0.30,BCC,None,None,bulk modulus,DFT,exact muffin-tin orbitals method with coherent potential approximation (EMTO-CPA),0,97500000000.0,None,Pa,ST2,10.1016/j.calphad.2024.102769
