Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,hardness,EXP,None,298.0,6590304000.0,None,Pa,P5,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,tensile yield stress,EXP,None,298.0,953000000.0,None,Pa,T5,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,UTS,EXP,None,298.0,1159000000.0,None,Pa,T5,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,tensile ductility,EXP,None,298.0,13.4,None,%,T5,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+GA-SLM(LPBF),None,tensile yield stress,EXP,None,298.0,984000000.0,None,Pa,T5,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+GA-SLM(LPBF),None,UTS,EXP,None,298.0,1176000000.0,None,Pa,T5,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+GA-SLM(LPBF),None,tensile ductility,EXP,None,298.0,10.7,None,%,T5,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,compressive yield stress,EXP,5e-3/s strain rate,1273.0,90000000.0,None,Pa,F17,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,UCS,EXP,5e-3/s strain rate,1273.0,148000000.0,None,Pa,F17,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,minimum compressive ductility,EXP,5e-3/s strain rate,1273.0,60.0,None,%,F17,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,compressive yield stress,EXP,5e-3/s strain rate,1423.0,53000000.0,None,Pa,F17,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,UCS,EXP,5e-3/s strain rate,1423.0,60000000.0,None,Pa,F17,10.1016/j.jallcom.2025.180506
None,Nb3Cr2Ti0.9W0.4Fe6,BCC,MA+DP-SLM(LPBF),None,minimum compressive ductility,EXP,5e-3/s strain rate,1423.0,60.0,None,%,F17,10.1016/j.jallcom.2025.180506
Al3,(Fe40Mn20Cr20Ni20)0.97 Al3,FCC+BCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1073K for 1h and quenched in water,tensile yield stress,EXP,None,298.0,605000000.0,20000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
Al3,(Fe40Mn20Cr20Ni20)0.97 Al3,FCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1373K for 10min and quenched in water,tensile yield stress,EXP,None,298.0,210000000.0,15000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
Si5,Fe40Mn20Cr15Ni20 Si5,FCC+BCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1073K for 1h and quenched in water,tensile yield stress,EXP,None,298.0,600000000.0,20000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
Si5,Fe40Mn20Cr15Ni20 Si5,FCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1373K for 10min and quenched in water,tensile yield stress,EXP,None,298.0,335000000.0,15000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
Al5Si5,Fe40Mn20Cr10Ni20 Al5 Si5,FCC+BCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1073K for 1h and quenched in water,tensile yield stress,EXP,None,298.0,805000000.0,10000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
Al5Si5,Fe40Mn20Cr10Ni20 Al5 Si5,FCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1373K for 10min and quenched in water,tensile yield stress,EXP,None,298.0,210000000.0,15000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
Al3,(Fe40Mn20Cr20Ni20)0.97 Al3,FCC+BCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1073K for 1h and quenched in water,UTS,EXP,None,298.0,760000000.0,20000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
Al3,(Fe40Mn20Cr20Ni20)0.97 Al3,FCC,AAM+H+CR+RX+WQ,homogenized at 1473K for 5h; cold rolled 70%; recrystallized at 1373K for 10min and quenched in water,UTS,EXP,None,298.0,460000000.0,10000000.0,Pa,S1,10.1016/j.jallcom.2025.180279
