Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,F
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,MoNbTaW ,BCC,VAM,None,hardness,EXP,None,298,5491919999.999999,None,Pa,F8,10.1016/j.nme.2022.101158
2,MoNbTaTi ,BCC,VAM,None,hardness,EXP,None,298,4315080000.0,None,Pa,F8,10.1016/j.nme.2022.101158
3,MoNbTaWTi ,BCC,VAM,None,hardness,EXP,None,298,4707360000.0,None,Pa,F8,10.1016/j.nme.2022.101158
4,MoNbTaW ,BCC,VAM+A,48h at 1200*C,hardness,EXP,None,298,5393850000.0,None,Pa,F8,10.1016/j.nme.2022.101158
5,MoNbTaW ,BCC,VAM+A,48h at 1500*C,hardness,EXP,None,298,5099640000.0,None,Pa,F8,10.1016/j.nme.2022.101158
6,MoNbTaTi ,BCC,VAM+A,48h at 1200*C,hardness,EXP,None,298,4020869999.9999995,None,Pa,F8,10.1016/j.nme.2022.101158
7,MoNbTaWTi ,BCC,VAM+A,48h at 1200*C,hardness,EXP,None,298,4707360000.0,None,Pa,F8,10.1016/j.nme.2022.101158
1,Ti30 Zr30 Hf16 Nb24,BCC,AC,None,tensile yield strength,EXP,None,298,720000000.0,None,Pa,F6,10.1016/j.actamat.2023.118728
2,Ti30 Zr30 Hf16 Nb24,BCC+BCC,AC+CR+A,20min at 900*C, nanoprecipitate strenghtening (see paper),tensile yield strength,EXP,None,298,800000000.0,None,Pa,F6,10.1016/j.actamat.2023.118728
3,Ti30 Zr30 Hf16 Nb24,BCC,AC+CR+A+A,20min at 900*C + 200h at 600*C,tensile yield strength,EXP,None,298,730000000.0,None,Pa,F6,10.1016/j.actamat.2023.118728
4,Ti30 Zr30 Hf16 Nb24,BCC,AC,None,tensile ductility,EXP,None,298,22.4,None,%,F6,10.1016/j.actamat.2023.118728
5,Ti30 Zr30 Hf16 Nb24,BCC+BCC,AC+CR+A,20min at 900*C, nanoprecipitate strenghtening (see paper),tensile ductility,EXP,None,298,34.0,None,%,F6,10.1016/j.actamat.2023.118728
6,Ti30 Zr30 Hf16 Nb24,BCC,AC+CR+A+A,20min at 900*C + 200h at 600*C,tensile ductility,EXP,None,298,25.6,None,%,F6,10.1016/j.actamat.2023.118728
1,Zr Nb Ta Hf0.2,BCC+HCP,AC,None,compressive yield strength,EXP,None,298,721000000.0,None,Pa,S,10.1016/j.jallcom.2022.166593
2,Zr Nb Ta Hf0.2 Cr0.3,BCC+HCP+C15,AC,None,compressive yield strength,EXP,None,298,855000000.0,None,Pa,S,10.1016/j.jallcom.2022.166593
3,Zr Nb Ta Hf0.2 Cr0.5,BCC+HCP+C15,AC,None,compressive yield strength,EXP,None,298,932000000.0,None,Pa,S,10.1016/j.jallcom.2022.166593
4,Zr Nb Ta Hf0.2 Cr0.75,BCC+HCP+C15,AC,None,compressive yield strength,EXP,None,298,993000000.0,None,Pa,S,10.1016/j.jallcom.2022.166593
5,Zr Nb Ta Hf0.2 Cr1,BCC+HCP+C15,AC,None,compressive yield strength,EXP,None,298,1389000000.0,None,Pa,S,10.1016/j.jallcom.2022.166593
6,Zr Nb Ta Hf0.2,BCC+HCP,AC+A,24h at 1400*C,compressive yield strength,EXP,None,298,793000000.0,None,Pa,S,10.1016/j.jallcom.2022.166593
7,Zr Nb Ta Hf0.2 Cr0.3,BCC+HCP+C15,AC+A,24h at 1400*C,compressive yield strength,EXP,None,298,945000000.0,None,Pa,S,10.1016/j.jallcom.2022.166593
