Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,F
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Nb25 Re25 Ru25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582 
2,Hf20 Nb20 Ta20 Ti20 Zr20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,20.0,None,%,S,10.1016/j.dib.2022.108582 
3,Hf20 Nb20 Ta20 Ti20 Zr20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,20.0,None,%,S,10.1016/j.dib.2022.108582
4,Hf20 Nb20 Ta20 Ti20 Zr20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,50.0,None,%,S,10.1016/j.dib.2022.108582
5,Hf30 Nb15 Ta15 Zr40 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,50.0,None,%,S,10.1016/j.dib.2022.108582
6,Hf25 Ta25 Zr50 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
7,Hf37.5 Ta25 Zr37.5 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
8,Hf25 Nb25 Re25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
9,Mo25 Nb25 Ru25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
10,Hf25 Mo25 Nb25 Re25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
11,Hf45 Mo15 Nb20 Ta20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,1.0,None,%,S,10.1016/j.dib.2022.108582
12,Mo25 Nb25 Re25 Ru25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
13,Hf20 Nb20 Re20 Ru20 W20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
14,Mo20 Nb20 Re20 Ru20 W20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
15,Hf25 Nb25 Re25 Ru25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
16,Hf30 Mo25 Nb30 Ta15 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,1.0,None,%,S,10.1016/j.dib.2022.108582
17,Hf25 Mo25 Nb25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
18,Hf25 Mo25 Re25 Ru25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
19,Hf20 Mo20 Nb20 Re20 W20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
20,Mo33.33333333 Ru33.33333333 W33.33333333 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
21,Hf25 Nb25 Ru25 Ta25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
22,Hf20 Mo20 Nb20 Re20 Ru20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
23,Hf25 Mo25 Re25 Ta25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
24,Hf25 Mo25 Nb25 Ru25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
25,Nb25 Ru25 Ta25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
26,Nb25 Re25 Ru25 Ta25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
27,Hf20 Mo20 Re20 Ru20 W20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
28,Hf25 Nb25 Re25 Ta25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
29,Hf25 Mo25 Ta25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
30,Hf25 Re25 Ru25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
31,Hf25 Mo25 Nb25 Ta25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,1.0,None,%,S,10.1016/j.dib.2022.108582
32,Mo25 Nb25 Ru25 Ta25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
33,Hf25 Nb25 Ru25 W25 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
34,Hf33.33333333 Re33.33333333 Ru33.33333333 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
35,Hf20 Mo20 Nb20 Ru20 Ta20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
36,Hf20 Mo20 Nb20 Re20 Ta20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
37,Hf20 Nb20 Re20 Ta20 W20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
38,Hf20 Nb20 Re20 Ru20 Ta20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
39,Hf20 Nb20 Ru20 Ta20 W20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.1,None,%,S,10.1016/j.dib.2022.108582
40,Hf20 Mo20 Nb20 Ru20 W20 ,None,AC,1.5cm diameter coupon sample,estimated compressive ductility,EXP,0.001/s strain rate,298,0.0,None,%,S,10.1016/j.dib.2022.108582
